annotation_id,external_id,sequence_id,turn_range,is_calibration,seeker_stance,primary_d2_role,d1_support_type,d3_strategies,stance_mismatch,confidence,notes,coder_id,created_at
96c338a5-e9cd-442d-a1b7-bfbe59d321d0,ESConv_6,75a33208-a941-494d-a71a-c92efed85165,"[2,7)",TRUE,Passive,Reflective Partner,Emotional,Reflection of Feelings; Affirmation and Reassurance,misfit,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:16:40.746937+00:00
a08bcaf5-ba61-4a95-b5ca-dc71c01fb2be,ESConv_0,ebf7dd4d-4933-4c3c-b4b0-4272ca7ba279,"[7,12)",TRUE,Passive,Advisor,Emotional,Question; Reflection of Feelings; Affirmation and Reassurance,misaligned_paradox_risk,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T17:49:16.712326+00:00
2c35e5e8-1ec7-4764-996f-cb93e914999f,ESConv_9,52c387cc-17cd-4169-b037-facfe699563f,"[2,7)",TRUE,Passive,None,None,Others,N/A,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:19:56.982586+00:00
be4a3d19-e141-46f8-a51b-947f76b9c68c,ESConv_2,5c55ef68-9635-47a5-a0bd-3dceb60bcb06,"[2,7)",TRUE,Passive,Advisor,Informational,Providing Suggestions; Question,misaligned_paradox_risk,3,Supporter is only asking about needs and trying to provide advice,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T17:54:55.247591+00:00
eea682a7-e286-4c87-9068-23edd422902a,ESConv_3,78bcce09-2954-4b80-938a-3c5f373dee53,"[2,7)",TRUE,Exploratory,Advisor,Emotional,Question; Information; Self-disclosure,mild_misfit,2,Supporter seems to be giving advice on how to handle isolation,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T17:59:58.173524+00:00
10c0dd07-1948-45dd-9094-4cd64937a3e8,ESConv_0,3be93cc8-6e5c-482c-b080-2503d38b0fee,"[2,7)",TRUE,Passive,Reflective Partner,None,Question,misfit,2,"Since this conversation is pretty short and it only inquires about the user, I don't think there's any support time right now because we are not supporting. ",41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:01:09.766626+00:00
ebe43561-26f4-4658-b65c-f8a5f069a4ab,ESConv_4,310b6798-365a-470c-82c5-d382e86e63f1,"[2,7)",TRUE,Passive,Reflective Partner,Emotional,Question,misfit,3,"Support offered affirmation followed by clarifying questions
",bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:07:54.32124+00:00
543307ac-22f3-405e-ba4b-86bb9f810050,ESConv_3,ed7a9f4d-4ed1-4426-a8e5-d2dc5d597fc2,"[7,12)",TRUE,Exploratory,Advisor,Network,Providing Suggestions,mild_misfit,3,strong focus on finding community and support groups,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:11:38.212661+00:00
4e99f353-9c96-4d02-a6b7-7d31b8c636f2,ESConv_5,979d700e-8c28-4a21-ba62-40c9b15298a6,"[2,7)",TRUE,Passive,Advisor,Informational,Question; Affirmation and Reassurance; Providing Suggestions,misaligned_paradox_risk,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:13:18.277737+00:00
8bfb06df-6373-4a5c-baef-1a14b97b9ab2,ESConv_6,af7634d3-b1c1-4d60-867d-3cbb15c3cc65,"[7,12)",TRUE,Passive,Advisor,Informational,Information; Providing Suggestions,misaligned_paradox_risk,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:17:11.138681+00:00
4e97c467-bfe1-4fb3-ac33-724cf5a8fa28,ESConv_7,b587e214-5d7f-465f-964e-40e88fd52f82,"[2,7)",TRUE,Active,None,None,Others,N/A,2,no support given at this point,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:17:40.337565+00:00
1ebe45ba-cc89-4287-bc24-722fcc1747e8,ESConv_7,c3401816-b867-47c9-a341-e86b88743589,"[7,12)",TRUE,Active,Listener,Emotional,Affirmation and Reassurance,misfit,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:18:33.674185+00:00
d032eb6d-a66f-41a9-8771-1363deb6647f,ESConv_8,deea06b4-0980-4a4e-a1c0-3d4d9b49123d,"[2,7)",TRUE,Active,Advisor,Informational,Providing Suggestions,aligned,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:19:00.663138+00:00
8c10c12a-4bb9-4108-8331-14049f1e667b,ESConv_0,ebf7dd4d-4933-4c3c-b4b0-4272ca7ba279,"[7,12)",TRUE,Passive,Ambiguous,Esteem,Question; Reflection of Feelings,N/A,1,"For the one support type, it contains multiple like steam, appraisal, and emotional. ",41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:19:36.681+00:00
51b2cd86-0a04-4de4-ba6d-398c15b1df11,ESConv_15,9ca8ae7d-d106-495a-9f90-e54da5e5fae9,"[2,7)",TRUE,Passive,Advisor,Informational,Providing Suggestions,misaligned_paradox_risk,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:27:15.322564+00:00
6dcbd661-3e92-4741-8495-c3d115108e3f,ESConv_9,4afd4e48-dd58-4a9e-bfc8-a36b17c47750,"[7,12)",TRUE,Passive,Listener,Emotional,Question,aligned,1,Advice given doesn't seem very helpful,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:20:30.429312+00:00
591cea5b-dffd-4287-9e57-e2ef0a17f886,ESConv_10,c43e7cef-1059-443d-b09b-4253c63045c9,"[2,7)",TRUE,Passive,None,None,Others,N/A,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:20:42.532018+00:00
0db11e70-1042-4398-adbe-37bda730a539,ESConv_10,2866f0a4-26da-4441-925f-1afbd7bd7479,"[7,12)",TRUE,Passive,Reflective Partner,Esteem,Restatement/Paraphrasing; Affirmation and Reassurance,misfit,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:21:13.342127+00:00
c312a875-9439-4932-824c-02b785b7c208,ESConv_11,af618bf3-c71b-44ba-ad0a-89d1a6028940,"[2,7)",TRUE,Passive,Advisor,Informational,Providing Suggestions,misaligned_paradox_risk,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:21:51.58239+00:00
95475405-f400-4eea-8ea7-d2b2590bc78e,ESConv_1,4ff96039-fae0-475a-a046-8d58cb1720da,"[2,7)",TRUE,Active,Listener,None,,misfit,3,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:21:59.476375+00:00
ec3cc084-5dff-44d9-90c2-a0698515557c,ESConv_11,8d7b24fa-9886-4231-b87c-3a1195db00aa,"[7,12)",TRUE,Passive,Coach,Esteem,Affirmation and Reassurance; Question,misaligned,2,Focused on coaching and understanding the seeker's past and building up their self esteem,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:22:47.179792+00:00
8d058ce8-63c9-4e8a-a5b5-20b095d15dcd,ESConv_12,0ff86499-9786-4eb1-845d-7293630c67a5,"[2,7)",TRUE,Active,Listener,Emotional,Affirmation and Reassurance,misfit,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:23:16.671125+00:00
6f35433a-99d3-4f5c-8ed0-01e43e26dff0,ESConv_1,c5e6c09b-0c35-46fa-9215-bbfd9dcb4d28,"[7,12)",TRUE,Active,Reflective Partner,None,Question; Restatement/Paraphrasing,mild_misfit,3,The agent is asking the user to confirm the problem. ,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:24:28.612827+00:00
ba8d316e-a962-4eb0-b59b-25b3dd207cf6,ESConv_12,08687149-4e3e-4ebc-8b3a-a3eef500fd72,"[7,12)",TRUE,Active,Listener,Emotional,Affirmation and Reassurance; Question,misfit,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:24:36.027538+00:00
cc0e06a8-c50c-4f60-b7a3-16dfd4e6e2c9,ESConv_13,4187bc51-71af-471c-9909-21d621dac393,"[2,7)",TRUE,Passive,Listener,Emotional,Question; Affirmation and Reassurance,aligned,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:24:56.433132+00:00
4607b547-a1ba-42ff-870f-0aa744f09867,ESConv_13,8fdf0ab5-8dd0-40d6-ada3-6e096878d421,"[7,12)",TRUE,Passive,Listener,Emotional,Question,aligned,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:26:12.706836+00:00
36c01911-7734-4fc8-a56e-5550e889673b,ESConv_14,5bcd60c8-24eb-4af0-93d1-d090b0cb80f3,"[2,7)",TRUE,Passive,Listener,Emotional,Question,aligned,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:26:25.400227+00:00
409c5365-6637-458a-89ec-3e817a3d1ba2,ESConv_2,5c55ef68-9635-47a5-a0bd-3dceb60bcb06,"[2,7)",TRUE,Passive,Reflective Partner,Emotional,Question; Reflection of Feelings,misfit,3,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:26:53.468233+00:00
8baad65b-9c28-463c-8cdf-5da5efa7831e,ESConv_14,ca101dbe-c08e-4300-850d-7f591108abd0,"[7,12)",TRUE,Passive,Advisor,Emotional,Question; Providing Suggestions,misaligned_paradox_risk,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:26:56.057609+00:00
c895a4e4-6b91-41e7-8171-438e67c81904,ESConv_15,851d2036-8f97-481c-8300-25b24c083995,"[7,12)",TRUE,Passive,Advisor,Informational,Providing Suggestions,misaligned_paradox_risk,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:27:37.862537+00:00
83742e0a-b39d-4d8d-9808-afbab88d542c,ESConv_16,07495c58-b7f8-4135-bf45-4f8f3dc2eae9,"[2,7)",TRUE,Passive,Reflective Partner,Emotional,Question; Restatement/Paraphrasing,misfit,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:28:02.057186+00:00
945a8a96-e16d-49bd-9ff1-76904f2a1a83,ESConv_16,89465216-38b2-4d82-ac70-cfa775b1fe69,"[7,12)",TRUE,Passive,Listener,Emotional,Affirmation and Reassurance,aligned,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:28:25.738699+00:00
bea9b00e-db11-44ce-a960-4865b4ab5f99,ESConv_17,35697fe2-df57-406c-ad53-f65eec80db24,"[2,7)",TRUE,Passive,None,None,Others,N/A,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:28:41.573113+00:00
f6c24a18-d56d-4859-9461-cd56ffa06b7a,ESConv_2,6b31c574-add4-4558-90bc-8eb4afa82aa3,"[7,12)",TRUE,Passive,Listener,Emotional,Question; Reflection of Feelings,aligned,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:28:48.114657+00:00
b850312d-4328-40ed-892a-a683ea031dc7,ESConv_17,37a3d916-b3da-4fc6-a485-9e2aaf08f30d,"[7,12)",TRUE,Passive,Reflective Partner,Emotional,Affirmation and Reassurance,misfit,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:29:36.43655+00:00
11953f50-8d5f-4cda-9ee6-dd5dd366dd7d,ESConv_18,2ff9fb5f-fb0b-4149-82d7-1bfd2d19f0fc,"[2,7)",TRUE,Passive,Reflective Partner,Emotional,Restatement/Paraphrasing,misfit,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:29:52.972788+00:00
8bca7b7f-cbe5-4630-93d7-5841c50fab93,ESConv_0,3be93cc8-6e5c-482c-b080-2503d38b0fee,"[2,7)",TRUE,Passive,Reflective Partner,None,Question,misfit,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T17:47:18.203175+00:00
11139b1d-6a08-4c92-a45f-aadffbfd0d9a,ESConv_6,af7634d3-b1c1-4d60-867d-3cbb15c3cc65,"[7,12)",TRUE,Passive,Advisor,Emotional,Question; Reflection of Feelings; Providing Suggestions,misaligned_paradox_risk,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:51:43.734629+00:00
66c38e53-684f-4345-8fb9-c0cca9d82184,ESConv_19,68b123e7-1565-4303-b628-c8ade42ca6b0,"[2,7)",TRUE,Passive,Reflective Partner,Emotional,Question,misfit,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:31:11.273231+00:00
92606c7b-d54d-4775-a621-a5f445f5b818,ESConv_3,ed7a9f4d-4ed1-4426-a8e5-d2dc5d597fc2,"[7,12)",TRUE,Passive,Advisor,Network,Reflection of Feelings; Question; Self-disclosure,misaligned_paradox_risk,2,"So here, the AI is giving advice by suggesting that the user find a community. ",41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:36:27.776098+00:00
2a4781a1-5363-4de7-b005-d8d2c0108a51,ESConv_4,310b6798-365a-470c-82c5-d382e86e63f1,"[2,7)",TRUE,Passive,Listener,Emotional,Question,aligned,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:39:03.385554+00:00
156fcca4-bdd2-4aeb-b56f-bad5229e8f39,ESConv_4,a09e2a91-0b89-4601-adbb-cd8c8ca3dfb2,"[7,12)",TRUE,Passive,Reflective Partner,Ambiguous,Question; Reflection of Feelings,misfit,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:41:40.735808+00:00
1923b54d-f4fd-4ea7-b877-1eb36da9b0ad,ESConv_5,979d700e-8c28-4a21-ba62-40c9b15298a6,"[2,7)",TRUE,Passive,Listener,Emotional,Question; Reflection of Feelings,aligned,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:43:03.741688+00:00
0f3f63e2-304c-4eba-9d37-0f07b43f4728,ESConv_5,d2eded2f-0c0d-4992-b2cf-2ff849ecfe33,"[7,12)",TRUE,Passive,Reflective Partner,Informational,Question,misfit,2,,41f829d6-9b5c-4fac-bfae-340a90fd8b25,2026-03-26T18:44:43.513485+00:00
b3ed4d52-6fe6-4796-ace9-c4bf938a8be9,ESConv_4,a09e2a91-0b89-4601-adbb-cd8c8ca3dfb2,"[7,12)",TRUE,Passive,Reflective Partner,Emotional,Question,misfit,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:45:35.603841+00:00
9fd41066-185c-4258-8ad8-181caae424fb,ESConv_20,978d0d2b-68c6-41d7-9149-9a38f60e7269,"[2,7)",TRUE,Passive,Reflective Partner,Emotional,Question,misfit,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:45:49.353063+00:00
1bbb436c-542c-496b-b9f4-9ec56c06a57d,ESConv_20,2f984489-b8dc-4350-a176-352ea03e400d,"[7,12)",TRUE,Passive,Advisor,Tangible,Providing Suggestions; Affirmation and Reassurance,misaligned_paradox_risk,3,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:46:27.698537+00:00
e00aa2b8-1f90-4b76-bfcd-35a37a74d7ce,ESConv_21,91345cd8-c511-404b-8db1-5c88c7057993,"[2,7)",TRUE,Passive,Listener,Emotional,Affirmation and Reassurance; Question; Reflection of Feelings,aligned,2,,bf32f904-50b3-4abb-9e0a-11aa1e2fb942,2026-03-26T18:47:11.568744+00:00
